Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
45,College of Computing and Data Science (wef Feb 2024),College of Computing and Data Science (wef Feb 2024),College of Computing and Data Science (wef Feb 2024),College of Computing and Data Science (wef Feb 2024),College of Computing and Data Science (wef Feb 2024),College of Computing and Data Science (wef Feb 2024),College of Computing and Data Science (wef Feb 2024),College of Computing and Data Science (wef Feb 2024),College of Computing and Data Science (wef Feb 2024),College of Computing and Data Science (wef Feb 2024),College of Computing and Data Science (wef Feb 2024),College of Computing and Data Science (wef Feb 2024),College of Computing and Data Science (wef Feb 2024),College of Computing and Data Science (wef Feb 2024),College of Computing and Data Science (wef Feb 2024),College of Computing and Data Science (wef Feb 2024),College of Computing and Data Science (wef Feb 2024)
46,Applied Computing in Finance,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25
47,Applied Computing in Finance,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25
48,Applied Computing in Finance,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25
49,Artificial Intelligence & Society,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25
50,Artificial Intelligence & Society,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25
51,Artificial Intelligence & Society,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25,New Programme AY2024/25
52,Computer Engineering,ABC/C (75),AAC/C (77.5),ABC/C (75),AAC/B (78.75),BBC/B (73.75),AAC/B (78.75),AAB/C (80),ABC/C (75),BBC/D (71.25),BCC/C (70),BCC/D (68.75),BCC/C (70),BCC/B (71.25),BBC/C (72.5),BBC/B (73.75),BCC/C (70)
53,Computer Engineering,3.60,3.65,3.87,3.77,3.58,3.63,3.61,3.56,3.53,3.54,3.51,3.60,3.55,3.67,3.36,3.38
54,Computer Engineering,203,180,96,129,99,90,87,86,71,93,95,89,130,148,145,170
